ConcernCode;ent_RechtsVorm_ent_RechtsVorm;c_naam;jaar;omzet_jeugdwet;omzet_totaal;eigen_vermogen;totaal_passiva;vlot_act;liq_mid;pers_kost_tot;kort_schulden;Bedrijfsresultaat;Nettowinst;jeugdwet_clienten;kosten_tot;qPersVerloopTot_InstroomFte;qPersVerloopTot_UitstroomFte;qPersTotTot_AantalFte;percentage_omzet_uit_jeugdwet;current_ratio;solvabiliteit;Weerstand;Vermogen_boven_15procent;percentage_bedrijfsresultaat;percentage_nettowinst;percentage_personeelskosten
S2PZ29A92W;Eenmanszaak;OUT-DOOR (Eenmanszaak);2018;111465;112169;40899;42285;41200;29342;0;0;83142;59730;0;29027;0,15;0;0,25;0,993723756;#GETAL!;0,967222419;0,364619458;24073,65;0,741220836;0,532500067;0
S2Q8ZBN2R4;Vennootschap onder firma (VoF);Gezinshuis Con Amore V.O.F.;2019;214238;214706;64518;537694;55648;28988;7385;0;135557;120446;0;79149;0,5;0;0,5;0,997820275;#GETAL!;0,11999018;0,30049463;32312,1;0,631361024;0,560981062;0,034395872
S2Q8ZBN2R4;Vennootschap onder firma (VoF);Gezinshuis Con Amore V.O.F.;2018;207321;207753;52926;546784;57671;57671;1770;0;143093;127561;0;64660;0,2;0,1;0,1;0,997920608;#GETAL!;0,096795078;0,254754444;21763,05;0,688765024;0,614003167;0,008519733
S2QQSBRZKZ;Vennootschap onder firma (VoF);Onderwijs Wijzer;2019;489717;489717;272436;363870;337867;69026;107549;0;178187;178187;0;311530;10,2;4,5;10,2;1;#GETAL!;0,748717949;0,556313136;198978,45;0,363857085;0,363857085;0,219614594
S2QQSBRZKZ;Vennootschap onder firma (VoF);Onderwijs Wijzer;2018;235174;242598;94249;164581;134760;24853;57144;0;74606;74633;0;167992;3,1;0;3,1;0,969397934;#GETAL!;0,572660271;0,388498669;57859,3;0,307529328;0,307640624;0,235550169
S2SQ8USGX8;Eenmanszaak;Gezinshuis Bij Ons;2019;163560;163560;276201;445720;122302;110060;0;0;85420;85420;0;78140;0;0;0;1;#GETAL!;0,619673786;1,688683052;251667;0,52225483;0,52225483;0
S2X39LXRN2;Eenmanszaak;Ineke Keizer (Eenmanszaak);2019;652980;844989;263051;380941;337389;101116;389445;0;125564;128015;0;719425;2,29;2,66;9,76;0,772767456;#GETAL!;0,690529505;0,311307011;136302,65;0,148598384;0,151499014;0,460887657
S2X39LXRN2;Eenmanszaak;Ineke Keizer (Eenmanszaak);2018;533313;833366;275490;348378;317717;148693;343065;0;198212;199950;0;635154;5,6;0;9,3;0,639950514;#GETAL!;0,790778981;0,330575041;150485,1;0,237845076;0,239930595;0,411661863
S2YHL9PX24;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Bundelzorg B.V.;2019;865954;987311;530378;1048912;286216;8289;847955;0;55055;55055;111,2;932256;0;0,8;16;0,87708331;#GETAL!;0,50564585;0,537194461;382281,35;0,055762571;0,055762571;0,858852986
S2YHL9PX24;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Bundelzorg B.V.;2018;1132180;1207053;464208;464208;462594;211082;738242;0;428232;428232;116,45;778821;12;0;12;0,937970412;#GETAL!;1;0,384579633;283150,05;0,354774811;0,354774811;0,611606947
